-3.1260266 | 0.0928329 | - | 0.1023328
-3.1104605 | 0.0936771 | - | 0.1033595
-3.0948945 | 0.0945325 | - | 0.1044019
-3.0793284 | 0.0953992 | - | 0.1054601
-3.0637624 | 0.0962775 | - | 0.1065344
-3.0481963 | 0.0971676 | - | 0.1076252
-3.0326302 | 0.0980695 | - | 0.1087329
-3.0170642 | 0.0989837 | - | 0.1098578
-3.0014981 | 0.0999102 | - | 0.1110002
-2.9859321 | 0.1008492 | - | 0.1121606
-2.9703660 | 0.1018011 | - | 0.1133392
-2.9547999 | 0.1027660 | - | 0.1145365
-2.9392339 | 0.1037442 | - | 0.1157529
-2.9236678 | 0.1047358 | - | 0.1169887
-2.9081018 | 0.1057412 | - | 0.1182445
-2.8925357 | 0.1067605 | - | 0.1195205
-2.8769696 | 0.1077940 | - | 0.1208174
-2.8614036 | 0.1088420 | - | 0.1221355
-2.8458375 | 0.1099047 | - | 0.1234752
-2.8302715 | 0.1109824 | - | 0.1248371
-2.8147054 | 0.1120754 | - | 0.1262217
-2.7991393 | 0.1131839 | - | 0.1276295
-2.7835733 | 0.1143082 | - | 0.1290609
-2.7680072 | 0.1154486 | - | 0.1305165
-2.7524412 | 0.1166054 | - | 0.1319970
-2.7368751 | 0.1177789 | - | 0.1335027
-2.7213090 | 0.1189694 | - | 0.1350344
-2.7057430 | 0.1201772 | - | 0.1365925
-2.6901769 | 0.1214027 | - | 0.1381778
-2.6746109 | 0.1226461 | - | 0.1397909
-2.6590448 | 0.1239078 | - | 0.1414323
-2.6434787 | 0.1251881 | - | 0.1431029
-2.6279127 | 0.1264874 | - | 0.1448032
-2.6123466 | 0.1278061 | - | 0.1465340
-2.5967806 | 0.1291444 | - | 0.1482960
-2.5812145 | 0.1305028 | - | 0.1500900
-2.5656484 | 0.1318817 | - | 0.1519168
-2.5500824 | 0.1332814 | - | 0.1537771
-2.5345163 | 0.1347024 | - | 0.1556718
-2.5189503 | 0.1361450 | - | 0.1576017
-2.5033842 | 0.1376096 | - | 0.1595677
-2.4878181 | 0.1390968 | - | 0.1615708
